,transaction_id,customer_id,product_name,product_category,price,quantity,transaction_date,payment_status,total_amount
39,50040,1601,MacBook Pro,Electronics,739.69,3,2023-09-23T00:00:00,pending,2219.07
40,50041,3364,Leather Jacket,Clothing,671.21,4,2023-08-16T00:00:00,PENDING,2684.84
41,50042,3062,Dell Laptop,Electronics,707.99,2,2024-06-29 00:00:00,COMPLETED,1415.98
42,50043,1242,Samsung Galaxy,Electronics,337.35,3,2024-07-07T00:00:00,Complete,1012.0500000000001
43,50044,3042,Sneakers,Clothing,709.95,5,2024-04-22,completed,3549.75
44,50045,3825,Dining Set,Home,1454.95,3,07/03/2024,Pending,4364.85
45,50046,3613,Arabic Literature,Books,179.5,2,2024-08-01,Completed,359.0
46,50047,2364,Running Shoes,Sports,1244.62,7,2023-06-18 00:00:00,failed,8712.34
47,50048,2479,Casual Shirt,Clothing,286.69,2,2024-03-04T00:00:00,pending,860.0699999999999
48,50049,3557,Science Textbook,Books,1460.4,3,2023-11-27 00:00:00,completed,4381.200000000001
49,50050,1776,Football,Sports,71.91,1,2023-06-06,,107.865
50,50051,5015,iPad,Electronics,258.77,5,2024-07-12T00:00:00,Completed,1293.85
51,50052,1035,Smart Watch,Electronics,727.8,2,2024-09-05T00:00:00,Refunded,1455.6
52,50053,4153,Tennis Racket,,,2,26/05/2024,pending,1468.56
53,50054,2956,Vacuum Cleaner,Home,357.39,5,2024-02-12,Refunded,1786.9499999999998
54,50055,2586,Science Textbook,Books,524.55,1,2023-01-24,COMPLETED,524.55
55,50056,4944,Smart Watch,Electronics,1263.75,3,2024-11-14T00:00:00,Unknown,3791.25
56,50057,4074,Samsung Galaxy,Electronics,470.11,6,2023-08-18T00:00:00,N/A,2820.66
57,50058,2022,Programming Guide,Books,711.84,5,2024-07-01T00:00:00,Unknown,3559.2000000000003
58,50059,4462,Sneakers,Clothing,1032.6,2,2023-03-10T00:00:00,completed,2065.2
59,50060,3614,iPad,Electronics,730.55,4,2023-07-14,completed,2922.2
60,50061,4844,Smart TV,Home,1362.75,1,2023-02-25T00:00:00,Unknown,1362.75
61,50062,2501,Traditional Thobe,Clothing,364.25,3,2023-01-24,Failed,1639.125
62,50063,5799,Science Textbook,Books,1830.11,2,10/10/2023,Processing,3660.22
63,50064,1162,Leather Jacket,Clothing,1277.73,4,2024-03-16T00:00:00,Refunded,5110.92
64,50065,5298,Traditional Thobe,Clothing,921.25,4,2024-12-10,Unknown,3685.0
65,50066,2982,Football,Sports,752.82,2,2023-12-20T00:00:00,,1505.64
66,50067,1996,Programming Guide,Books,222.43,4,2023-07-26 00:00:00,N/A,889.72
67,50068,5912,Running Shoes,,-100.0,5,invalid_date,,-500.0
68,50069,4343,Business Strategy,Books,540.49,4,2023-06-05 00:00:00,Pending,2161.96
69,50070,5552,Casual Shirt,Clothing,633.46,2,2024-07-18 00:00:00,Processing,1266.92
70,50071,4799,Business Strategy,,233.99,2,2023-03-13,,467.98
71,50072,2276,Arabic Literature,Books,243.88,5,2023-03-20T00:00:00,Paid,1219.4
72,50073,2017,Yoga Mat,Sports,301.33,3,2023-10-20 00:00:00,Refunded,903.99
73,50074,1338,Dining Set,,786.27,2,2024-04-09,failed,1572.54
74,50075,1879,Vacuum Cleaner,Home,861.0,2,2023-01-18,Pending,1722.0
75,50076,2077,Science Textbook,Books,1072.82,3,29/12/2024,,3218.46
76,50077,5888,Designer Dress,Clothing,287.24,5,2023-07-27T00:00:00,PENDING,1436.2
77,50078,4994,Tennis Racket,Sports,723.88,4,2024-12-01,,2895.52
78,50079,5860,Smart TV,Home,73.48,3,2023-03-25T00:00:00,FAILED,330.65999999999997
79,50080,1380,iPad,Electronics,109.19,4,30/08/2023,N/A,436.76
80,50081,1493,Casual Shirt,Clothing,504.86,6,2023-04-16T00:00:00,Failed,3029.16
81,50082,3063,Refrigerator,,86.36,3,2023-08-14T00:00:00,Pending,259.08
82,50083,4885,Business Strategy,Books,690.61,4,14/02/2024,N/A,2762.44
83,50084,1065,Smart TV,Home,343.5,4,2024-02-18,Pending,1374.0
84,50085,3569,MacBook Pro,Electronics,-100.0,4,2024-07-31T00:00:00,N/A,-400.0
85,50086,3028,Sneakers,Clothing,1427.45,4,2024-11-04,Paid,5709.8
86,50087,3696,iPhone 15,Electronics,729.69,6,2023-05-04T00:00:00,failed,4378.14
87,50088,2496,Samsung Galaxy,Electronics,159.92,3,2024-10-05T00:00:00,completed,479.76
88,50089,1392,Running Shoes,Sports,677.62,2,2023-06-08T00:00:00,N/A,1355.24
89,50090,5515,Smart TV,Home,1175.42,1,2023-03-14,Processing,1175.42
90,50091,5475,Smart Watch,Electronics,307.68,1,2023-01-01T00:00:00,,307.68
91,50092,4562,Science Textbook,Books,1026.63,5,2023-04-23T00:00:00,Processing,5133.150000000001
92,50093,3279,Refrigerator,Home,976.65,2,2023-08-26 00:00:00,pending,1953.3
93,50094,4100,Vacuum Cleaner,Home,1066.84,3,2024-07-07T00:00:00,Pending,3200.5199999999995
94,50095,1201,Dining Set,Home,1504.83,4,2024-06-09T00:00:00,Cancelled,6019.32
95,50096,5876,Designer Dress,,139.63,3,2024-03-06T00:00:00,PENDING,418.89
96,50097,4105,Science Textbook,,735.52,2,2024-01-13,FAILED,1471.04
97,50098,5599,Coffee Maker,Home,713.45,3,25/08/2024,PENDING,2140.3500000000004
98,50099,3455,Arabic Literature,Books,1757.25,5,2024-03-06T00:00:00,Paid,8786.25
99,50100,4646,iPad,Electronics,315.57,3,2023-04-07T00:00:00,Complete,946.71
100,50101,1805,Sneakers,Clothing,685.33,2,29/04/2023,Completed,1370.66
101,50102,3732,Leather Jacket,Clothing,437.34,5,2024-03-13,Completed,2186.7
102,50103,3774,Football,Sports,0.01,2,2024-07-29,Processing,0.02
103,50104,2571,Yoga Mat,Sports,250.19,4,2023-08-04T00:00:00,Failed,1000.76
104,50105,3691,MacBook Pro,Electronics,3209.87,5,2024-11-10T00:00:00,completed,16049.349999999999
105,50106,4841,Smart TV,Home,372.36,2,20/05/2023,Failed,744.72
106,50107,2029,Gym Equipment,Sports,920.94,4,2024-10-21 00:00:00,Pending,3683.76
107,50108,1503,Refrigerator,Home,710.11,5,2024-07-07 00:00:00,Refunded,3550.55
108,50109,5494,Running Shoes,Sports,939.16,1,2023-05-19T00:00:00,N/A,939.16
109,50110,1871,Running Shoes,Sports,537.11,6,2023-04-11T00:00:00,Paid,3222.66
110,50111,5489,Designer Dress,Clothing,996.96,1,2023-05-30 00:00:00,Completed,996.96
111,50112,1207,Casual Shirt,Clothing,798.64,2,2024-09-02T00:00:00,,1597.28
112,50113,2485,samsung galaxy,Electronics,187.99,2,2024-04-02 00:00:00,failed,375.98
113,50114,1864,Casual Shirt,Clothing,492.36,3,2023-11-28,Refunded,1477.08
114,50115,3791,Running Shoes,Sports,1818.74,3,2023-04-09T00:00:00,pending,5456.22
115,50116,1564,Casual Shirt,Clothing,256.38,3,17/04/2024,N/A,769.14
116,50117,5192,Dining Set,Home,460.68,1,2024-02-29T00:00:00,COMPLETED,460.68
117,50118,2758,Business Strategy,Books,179.88,4,18/12/2024,,719.52
118,50119,2679,Business Strategy,Books,369.28,8,2023-07-17 00:00:00,Unknown,2954.24
119,50120,4243,Coffee Maker,Home,1649.16,3,2023-10-27 00:00:00,Cancelled,4947.4800000000005
120,50121,5637,Dell Laptop,Electronics,184.07,1,2023-09-09,FAILED,184.07
121,50122,2060,SAMSUNG GALAXY,,,3,2023-09-06T00:00:00,Cancelled,3220.74
122,50123,2723,Dell Laptop,Electronics,525.9,1,2024-04-29 00:00:00,pending,525.9
123,50124,4315,Programming Guide,Books,398.61,2,2024-04-21,,797.22
124,50125,4158,Programming Guide,Books,1161.42,6,2023-03-19 00:00:00,Failed,6968.52
125,50126,3626,iPhone 15,Electronics,724.86,4,2023-01-29 00:00:00,Unknown,2899.44
126,50127,3730,Samsung Galaxy,Electronics,195.63,4,2024-13-45,failed,782.52
127,50128,2598,Sneakers,Clothing,471.36,3,08/08/2023,failed,1414.08
128,50129,4061,Business Strategy,Books,340.2,3,2023-01-24T00:00:00,Paid,1020.5999999999999
129,50130,3694,MacBook Pro,Electronics,517.37,2,2023-12-15T00:00:00,Processing,1034.74
130,50131,5892,Smart Watch,Electronics,1051.28,2,21/09/2024,Failed,2102.56
131,50132,4628,Smart TV,Home,2266.05,6,11/05/2023,Failed,13596.300000000001
132,50133,2364,Traditional Thobe,,741.51,4,27/12/2023,pending,2966.04
133,50134,2982,Dining Set,Home,1476.07,3,2024-09-25 00:00:00,Failed,4428.21
134,50135,2664,Vacuum Cleaner,Home,1961.08,3,04/11/2024,Failed,8824.86
135,50136,2530,Dining Set,Home,424.46,2,21/01/2024,Refunded,848.92
136,50137,3039,Traditional Thobe,Clothing,515.16,3,2023-04-06T00:00:00,COMPLETED,1545.48
137,50138,4303,Traditional Thobe,Clothing,1234.37,4,24/08/2024,PENDING,4937.48
138,50139,3238,Dell Laptop,Electronics,830.18,5,2023-08-17,Completed,4150.9
139,50140,2307,Smart Watch,Electronics,1827.46,1,2024-06-03 00:00:00,PENDING,1827.46
140,50141,5030,Sneakers,Clothing,61.45,3,2023-04-07T00:00:00,Completed,184.35000000000002
141,50142,3676,Running Shoes,Sports,650.65,6,2024-04-02,Pending,3903.8999999999996
142,50143,2283,Business Strategy,Books,1071.31,3,2023-03-22,N/A,3213.93
143,50144,1710,Casual Shirt,,376.01,3,2023-01-28 00:00:00,Completed,1128.03
144,50145,5745,Science Textbook,Books,335.86,2,2024-04-22T00:00:00,,671.72
145,50146,5414,Running Shoes,Sports,703.14,8,2024-10-18T00:00:00,Pending,5625.12
146,50147,4749,Programming Guide,Books,607.86,3,2023-03-03,N/A,2735.37
147,50148,5780,Coffee Maker,Home,394.06,4,2024-01-26T00:00:00,pending,1576.24
148,50149,1664,Refrigerator,Home,1022.47,2,2023-01-26,COMPLETED,2044.94
149,50150,2999,Leather Jacket,Clothing,1034.31,4,07/06/2023,Completed,4137.24
150,50151,4446,Coffee Maker,Home,1396.9,2,2023-03-08,FAILED,2793.8
151,50152,4744,Samsung Galaxy,Electronics,616.07,2,2023-09-14 00:00:00,,1232.14
152,50153,2496,samsung galaxy,Electronics,387.52,2,2023-11-15,Complete,775.04
153,50154,4305,iPad,Electronics,1047.01,5,2023-06-01T00:00:00,FAILED,5235.05
154,50155,4764,Dining Set,Home,739.52,2,07/05/2023,,1479.04
155,50156,2854,Casual Shirt,Clothing,326.35,5,2023-08-15,COMPLETED,1631.75
156,50157,5660,Casual Shirt,Clothing,642.49,3,2024-03-20,pending,1927.47
157,50158,2292,Leather Jacket,Clothing,456.69,3,2023-08-05T00:00:00,Refunded,1370.07
158,50159,4582,Arabic Literature,Books,552.43,2,2023-02-14T00:00:00,Cancelled,1104.86
159,50160,4458,Science Textbook,Books,627.97,3,2023-01-18T00:00:00,failed,1883.91
160,50161,2637,iPad,Electronics,877.27,8,2023-07-16,Processing,7018.16
161,50162,4697,Dell Laptop,Electronics,200.96,2,2024-06-23 00:00:00,Cancelled,401.92
162,50163,4000,Science Textbook,Books,404.11,2,2023-10-12,pending,808.22
163,50164,4153,Programming Guide,Books,868.62,3,2024-01-22 00:00:00,pending,2605.86
164,50165,1699,Smart TV,Home,1342.85,5,28/04/2024,failed,6714.25
165,50166,3161,Casual Shirt,Clothing,613.45,2,2024-10-17T00:00:00,Failed,1226.9
166,50167,5098,Arabic Literature,Books,705.21,2,invalid_date,,1410.42
167,50168,5738,Running Shoes,Sports,1206.27,3,2024-08-05,Cancelled,3618.81
168,50169,1855,Dining Set,Home,97.15,2,2023-02-14T00:00:00,pending,291.45000000000005
169,50170,4475,Smart Watch,Electronics,980.68,1,2024-12-02,failed,980.68
170,50171,2708,Sneakers,Clothing,613.72,3,,completed,2761.7400000000002
171,50172,3778,Yoga Mat,Sports,1550.38,4,17/01/2024,Pending,9302.28
172,50173,2734,iPad,Electronics,1559.43,5,2024-06-15 00:00:00,pending,7797.150000000001
173,50174,5932,Casual Shirt,Clothing,136.74,3,2024-10-18,Paid,410.22
174,50175,4511,Yoga Mat,Sports,771.44,2,26/05/2024,Complete,1542.88
175,50176,1203,Yoga Mat,Sports,1149.71,1,32/15/2024,pending,1149.71
176,50177,4256,MacBook Pro,Electronics,398.37,1,2023-05-13,Refunded,398.37
177,50178,5219,Dell Laptop,Electronics,1391.07,3,2024-06-01 00:00:00,COMPLETED,4173.21
178,50179,5497,Yoga Mat,Sports,445.13,3,2023-05-11 00:00:00,completed,1335.3899999999999
179,50180,1767,Smart TV,Home,619.0,3,2023-05-17T00:00:00,Refunded,1857.0
180,50181,5390,Running Shoes,Sports,577.16,4,2023-12-03 00:00:00,Refunded,2308.64
181,50182,3328,Traditional Thobe,Clothing,589.0,2,2024-09-20 00:00:00,Processing,1178.0
182,50183,3932,Business Strategy,Books,724.04,4,2024-12-08,PENDING,2896.16
183,50184,1198,Arabic Literature,Books,651.29,2,2024-06-12,Complete,1302.58
184,50185,2931,iPhone 15,Electronics,426.8,2,27/05/2023,Refunded,853.6
185,50186,4583,Gym Equipment,Sports,880.64,4,2024-05-25 00:00:00,PENDING,3522.56
186,50187,1609,Designer Dress,Clothing,349.11,5,2024-04-16T00:00:00,Failed,1745.5500000000002
187,50188,4273,Running Shoes,Sports,404.35,5,2023-08-28 00:00:00,,2021.75
188,50189,2148,Programming Guide,Books,1144.69,6,01/08/2024,pending,6868.14
189,50190,5283,Smart TV,Home,999999.0,3,2024-11-08T00:00:00,Completed,2999997.0
190,50191,4398,Football,Sports,870.62,4,2024-13-45,Complete,3482.48
191,50192,3512,Refrigerator,Home,1679.49,1,19/12/2024,Complete,1679.49
192,50193,2795,Football,Sports,2618.99,3,2024-03-01 00:00:00,PENDING,7856.969999999999
193,50194,1660,Business Strategy,Books,3013.18,4,2024-08-03,PENDING,12052.72
194,50195,3812,Vacuum Cleaner,Home,1867.51,3,2024-11-25,,5602.53
195,50196,2370,Sneakers,Clothing,1045.86,1,2024-06-03T00:00:00,Cancelled,1045.86
196,50197,2987,Business Strategy,,645.21,3,24/03/2024,pending,1935.63
197,50198,1147,Samsung Galaxy,Electronics,155.45,3,2024-08-30T00:00:00,Refunded,466.34999999999997
198,50199,4220,Science Textbook,Books,902.24,1,2023-04-17T00:00:00,Complete,902.24
199,50200,3912,Samsung Galaxy,Electronics,897.88,5,2023-02-16 00:00:00,PENDING,4489.4
200,50201,2735,Football,Sports,1236.52,3,2023-06-26,Unknown,3709.56
201,50202,2844,Running Shoes,Sports,777.88,5,2024-10-30 00:00:00,Complete,3889.4
202,50203,1489,Smart TV,Home,1441.74,3,2024-03-25T00:00:00,Cancelled,4325.22
203,50204,3977,Business Strategy,Books,893.74,1,2023-06-18T00:00:00,N/A,893.74
204,50205,2960,Refrigerator,Home,1347.24,3,2023-08-02,Unknown,6062.58
205,50206,3386,Business Strategy,,786.93,3,26/12/2023,Processing,2360.79
206,50207,3920,Smart TV,Home,1976.83,2,15/01/2023,Complete,3953.66
207,50208,5737,Designer Dress,Clothing,340.27,2,2023-08-30,Processing,680.54
208,50209,2803,SamsungGalaxy,Electronics,480.52,3,2023-10-22 00:00:00,PENDING,1441.56
209,50210,5062,Tennis Racket,Sports,628.81,3,2024-01-22 00:00:00,N/A,1886.4299999999998
210,50211,4370,Traditional Thobe,,378.38,2,2024-03-14 00:00:00,PENDING,756.76
211,50212,1263,iPad,Electronics,1626.63,6,2024-09-02,Failed,9759.78
212,50213,1624,Vacuum Cleaner,Home,77.8,2,invalid_date,Completed,155.6
213,50214,2017,Football,Sports,1484.87,2,28/05/2023,Refunded,2969.74
214,50215,4644,Football,Sports,1297.02,2,2024-10-29 00:00:00,Processing,2594.04
215,50216,5977,Smart Watch,,669.68,4,2024-02-14T00:00:00,FAILED,2678.72
216,50217,3050,Designer Dress,Clothing,1027.43,3,invalid_date,Complete,4623.4349999999995
217,50218,4724,Dell Laptop,Electronics,354.39,5,2023-01-24,Paid,1771.9499999999998
218,50219,5549,Business Strategy,Books,714.64,4,2023-07-23T00:00:00,Refunded,2858.56
219,50220,4109,Casual Shirt,Clothing,602.15,5,2023-02-06T00:00:00,Failed,3010.75
220,50221,5091,Samsung Galaxy,Electronics,504.38,3,10/01/2024,Refunded,1513.1399999999999
221,50222,3057,Science Textbook,Books,212.41,4,2023-09-26 00:00:00,PENDING,849.64
222,50223,4171,Traditional Thobe,Clothing,2776.86,1,invalid_date,Failed,2776.86
223,50224,2683,Leather Jacket,Clothing,255.21,3,2024-06-01T00:00:00,,765.63
224,50225,3256,Designer Dress,Clothing,393.06,4,2024-06-29 00:00:00,Completed,1572.24
225,50226,2155,Leather Jacket,Clothing,1868.5,4,2024-04-07,Completed,7474.0
226,50227,5500,Arabic Literature,Books,,3,2023-02-21T00:00:00,Pending,5887.29
227,50228,4192,Dell Laptop,Electronics,974.12,3,12/05/2023,PENDING,2922.36
228,50229,2697,Tennis Racket,Sports,388.44,4,2024-07-24,Processing,1553.76
229,50230,4992,Arabic Literature,Books,703.62,6,2024-06-24 00:00:00,pending,4221.72
230,50231,5724,Smart TV,Home,85.44,4,2023-05-26 00:00:00,N/A,341.76
231,50232,5683,Smart Watch,Electronics,-100.0,2,2024-10-08 00:00:00,PENDING,-200.0
232,50233,2649,Dell Laptop,Electronics,364.97,1,2024-03-20 00:00:00,Unknown,364.97
233,50234,2446,Programming Guide,Books,890.24,1,2023-07-20,PENDING,890.24
234,50235,5200,Smart Watch,Electronics,738.0,2,2024-03-26,completed,1476.0
235,50236,4924,Arabic Literature,Books,532.76,2,2023-11-29 00:00:00,completed,1065.52
236,50237,1254,Vacuum Cleaner,Home,2284.82,2,2023-06-23,FAILED,4569.64
237,50238,4184,Casual Shirt,Clothing,744.42,3,2024-07-04T00:00:00,Pending,2233.2599999999998
238,50239,3558,MacBook Pro,,1099.45,4,2024-02-27 00:00:00,N/A,4397.8
239,50240,1099,MacBook Pro,Electronics,2556.83,1,2023-08-05T00:00:00,PENDING,2556.83
240,50241,3201,Dining Set,Home,821.66,5,2023-09-13,PENDING,4108.3
241,50242,3962,Science Textbook,Books,78.26,4,2024-05-04,Failed,313.04
242,50243,5974,Football,Sports,540.4,2,14/03/2023,PENDING,1080.8
243,50244,5434,Running Shoes,Sports,664.56,2,2024-08-15T00:00:00,Complete,1329.12
244,50245,4778,Casual Shirt,Clothing,258.43,1,2023-05-31,N/A,387.645
245,50246,3870,Smart Watch,Electronics,1038.71,3,2023-03-28 00:00:00,Complete,3116.13
246,50247,4235,Smart TV,Home,511.55,3,invalid_date,,1534.65
247,50248,4792,Vacuum Cleaner,Home,317.94,1,2024-06-18 00:00:00,Failed,317.94
248,50249,1957,Vacuum Cleaner,Home,509.75,2,2024-07-11,Refunded,1019.5
249,50250,5068,Dell Laptop,Electronics,652.26,1,08/09/2023,Refunded,652.26
250,50251,1161,Dell Laptop,Electronics,1970.57,1,2023-06-11T00:00:00,,1970.57
251,50252,5494,Science Textbook,Books,327.78,3,2024-12-13 00:00:00,Completed,983.3399999999999
252,50253,2301,Business Strategy,Books,164.97,1,2023-10-18 00:00:00,Processing,164.97
253,50254,5912,Arabic Literature,Books,1043.11,3,2024-02-21 00:00:00,Unknown,3129.33
254,50255,4988,Refrigerator,Home,226.02,2,2024-09-10,FAILED,452.04
255,50256,2528,Football,Sports,530.98,5,2023-08-31 00:00:00,COMPLETED,2654.9
256,50257,2219,Running Shoes,,277.7,3,2023-10-13,Failed,833.0999999999999
257,50258,5497,Leather Jacket,Clothing,657.59,3,invalid_date,PENDING,1972.77
258,50259,5736,Arabic Literature,Books,1533.78,1,03/09/2023,N/A,1533.78
259,50260,4105,Smart Watch,Electronics,999999.0,5,2024-07-19 00:00:00,,4999995.0
260,50261,3736,Casual Shirt,Clothing,75.96,2,2023-02-13,failed,227.88
261,50262,5556,Refrigerator,,1214.15,1,2024-01-21 00:00:00,pending,1214.15
262,50263,1955,Casual Shirt,Clothing,713.69,3,01/09/2024,COMPLETED,2141.07
263,50264,5566,Casual Shirt,Clothing,301.74,1,2024-04-22 00:00:00,Refunded,301.74
264,50265,4447,Smart Watch,Electronics,648.39,1,2023-10-09T00:00:00,Unknown,648.39
265,50266,2046,Smart Watch,Electronics,420.63,4,2023-02-10 00:00:00,,1682.52
266,50267,2694,Dining Set,Home,0.0,3,2024-02-05T00:00:00,Paid,0.0
267,50268,4437,Designer Dress,Clothing,479.46,4,2024-06-19T00:00:00,FAILED,1917.84
268,50269,1563,Yoga Mat,Sports,694.91,3,2023-12-10T00:00:00,Pending,2084.73
269,50270,3486,Football,Sports,967.95,4,14/12/2023,,3871.8
270,50271,4355,Yoga Mat,Sports,228.61,3,2023-09-06T00:00:00,completed,685.83
271,50272,1226,Coffee Maker,Home,355.57,4,2023-07-03T00:00:00,FAILED,1422.28
272,50273,5894,Vacuum Cleaner,Home,260.43,5,02/11/2024,Complete,1302.15
273,50274,1960,MacBook Pro,Electronics,925.86,3,23/07/2023,,2777.58
274,50275,5549,Vacuum Cleaner,Home,396.92,4,2023-04-27,Pending,1587.68
275,50276,4068,Arabic Literature,Books,357.1,3,2023-10-01T00:00:00,PENDING,1071.3000000000002
276,50277,1816,Programming Guide,Books,439.6,2,2024-03-03 00:00:00,COMPLETED,879.2
277,50278,5755,Dining Set,Home,2415.56,5,2023-05-02,failed,12077.8
278,50279,5643,Football,Sports,416.89,3,2024-11-19 00:00:00,Paid,1250.67
279,50280,4121,Designer Dress,Clothing,1184.42,4,2023-07-22 00:00:00,Cancelled,7106.52
280,50281,1017,Tennis Racket,Sports,-100.0,2,2023-10-13 00:00:00,failed,-200.0
281,50282,2244,Refrigerator,Home,963.05,3,2023-10-06 00:00:00,Complete,2889.1499999999996
282,50283,3206,Gym Equipment,Sports,276.88,5,2024-04-30 00:00:00,Unknown,1384.4
283,50284,3525,Designer Dress,Clothing,1683.53,4,2023-10-29 00:00:00,,6734.12
284,50285,2070,Coffee Maker,Home,1159.06,4,2024-12-18 00:00:00,completed,4636.24
285,50286,4445,iPhone 15,,340.11,3,29/03/2023,Processing,1020.33
286,50287,3566,Programming Guide,Books,574.78,3,2024-13-45,N/A,1724.34
287,50288,2061,Smart Watch,Electronics,1475.67,3,2023-02-17,Complete,4427.01
288,50289,3328,Samsung Galaxy,Electronics,1092.39,4,2024-03-30T00:00:00,Paid,4369.56
289,50290,4421,Football,Sports,,2,2023-07-17 00:00:00,Pending,488.36
290,50291,1302,iPhone 15,Electronics,303.2,2,2023-04-10T00:00:00,,606.4
291,50292,5277,Dell Laptop,Electronics,163.02,4,30/08/2023,Pending,652.08
292,50293,1607,Tennis Racket,Sports,3561.54,3,19/01/2024,COMPLETED,10684.619999999999
293,50294,4171,Refrigerator,Home,,1,15/06/2024,pending,921.89
294,50295,1700,Casual Shirt,Clothing,486.06,5,2023-12-04,,2430.3
295,50296,2140,Arabic Literature,,568.2,2,2024-05-11,failed,1136.4
296,50297,1191,Yoga Mat,Sports,437.18,4,2024-07-19,,1748.72
297,50298,3301,Leather Jacket,Clothing,720.35,2,2024-02-04T00:00:00,Failed,1440.7
298,50299,1981,Programming Guide,Books,430.68,4,08/06/2024,Cancelled,1722.72
299,50300,3976,Vacuum Cleaner,Home,118.38,1,29/06/2023,failed,177.57
300,50301,2185,Running Shoes,Sports,2198.76,2,2023-06-27,Completed,4397.52
301,50302,4328,Refrigerator,Home,484.78,2,2024-07-25T00:00:00,Unknown,969.56
302,50303,4395,iPhone 15,Electronics,248.14,3,03/10/2023,COMPLETED,744.42
303,50304,1128,Football,Sports,475.31,2,2024-09-14 00:00:00,N/A,950.62
304,50305,3066,Running Shoes,Sports,130.15,3,2023-10-21 00:00:00,completed,390.45000000000005
305,50306,2817,Smart TV,Home,,4,2024-09-14,Failed,369.24
306,50307,1570,Arabic Literature,Books,1786.1,3,12/07/2023,Paid,5358.299999999999
307,50308,2896,Traditional Thobe,Clothing,373.29,1,22/04/2023,Pending,373.29
308,50309,3734,Leather Jacket,Clothing,1225.97,2,2023-05-15,Processing,2451.94
309,50310,4864,Sneakers,Clothing,721.05,3,2024-08-29,N/A,2163.1499999999996
